episode,timestep,reward
1,2400,48.6391
3,4800,792.9973
5,7200,0.6118
7,9600,12.5887
9,12000,4.7242
11,14400,24.6369
13,16800,7.6472
15,19200,8.6442
17,21600,6.7211
19,24000,35.0388
21,26400,16.7346
23,28800,16.2084
25,31200,16.3065
27,33600,414.7885
29,36000,14.6808
31,38400,25.4581
33,40800,4.6763
35,43200,6.6103
37,45600,43.0582
39,48000,18.9271
41,50400,9.3461
43,52800,3.4661
45,55200,15.61
47,57600,8.9536
49,60000,13.4362
51,62400,31.9136
53,64800,20.5285
55,67200,6.7331
57,69600,517.7891
59,72000,36.5859
61,74400,5.7464
63,76800,12.9638
65,79200,7.956
67,81600,13.3827
69,84000,27.3946
71,86400,12.7823
73,88800,23.4894
75,91200,12.0158
77,93600,6.8087
79,96000,13.295
81,98400,10.9848
83,100800,15.4471
85,103200,15.3121
87,105600,12.3452
89,108000,26.079
91,110400,8.4579
93,112800,30.8913
95,115200,16.9407
97,117600,76.2236
99,120000,139.0549
101,122400,309.8019
103,124800,95.0491
105,127200,8.8757
107,129600,33.6777
109,132000,8.949
111,134400,18.7055
113,136800,7.1746
115,139200,6.1283
117,141600,563.8538
119,144000,781.4548
121,146400,341.2001
123,148800,10.3691
125,151200,6.3554
127,153600,43.2202
129,156000,11.2455
131,158400,8.6259
133,160800,17.5405
135,163200,8.3305
137,165600,22.5355
139,168000,20.3734
141,170400,14.1513
143,172800,5.5192
145,175200,20.7914
147,177600,20.1594
149,180000,364.4582
151,182400,22.241
153,184800,16.3903
155,187200,19.2258
157,189600,8.7811
159,192000,63.5072
