episode,timestep,reward
40,9616,-14021.576072
40,9616,-9922.221387
40,9616,-21193.475173
40,9616,-21674.538446
40,9616,-28809.237358
40,9616,-25021.82775
40,9616,-22854.302169
40,9616,-14375.62526
80,19232,-974.448125
80,19232,-32658.661678
80,19232,-5190.462753
80,19232,-14445.190249
80,19232,-12993.329055
80,19232,-13927.777844
80,19232,-6157.427247
80,19232,-13812.053722
120,28848,-32128.186899
120,28848,-27768.148031
120,28848,-29984.50776
120,28848,-16834.338893
120,28848,-17950.918842
120,28848,-2113.191723
120,28848,-16220.392437
120,28848,8763.231001
160,38464,-25909.958084
160,38464,-19561.846698
160,38464,-15298.582056
160,38464,-13417.028308
160,38464,-9943.844075
160,38464,-27612.151027
160,38464,-28046.980994
160,38464,-11357.228824
200,48080,-20552.710056
200,48080,-12064.129151
200,48080,-31453.454283
200,48080,-25555.993284
200,48080,-16461.582282
200,48080,-22358.714782
200,48080,-13133.549353
200,48080,-17879.661599
240,57696,-28445.433358
240,57696,-15375.920448
240,57696,-20753.863443
240,57696,-13903.123331
240,57696,-22405.995016
240,57696,-13804.559103
240,57696,-21008.688255
240,57696,-13216.552099
280,67312,-12113.483128
280,67312,15759.007027
280,67312,-27851.581408
280,67312,-14521.675404
280,67312,-9876.640362
280,67312,-16994.849011
280,67312,-17124.534146
280,67312,-29881.58054
320,76928,-28682.229755
320,76928,-23890.895328
320,76928,-11574.92634
320,76928,-20142.789259
320,76928,-25007.279712
320,76928,-26829.443162
320,76928,-24088.317724
320,76928,-13680.758711
360,86544,6101.630966
360,86544,-14218.037238
360,86544,-13130.131741
360,86544,-13419.919337
360,86544,-23539.229671
360,86544,-16052.553422
360,86544,-7204.797766
360,86544,-4070.030117
400,96160,-20152.470662
400,96160,-21577.972242
400,96160,-21058.176854
400,96160,-19532.409404
400,96160,-13704.34451
400,96160,-12781.863445
400,96160,-20318.305641
400,96160,-23259.09169
440,105776,-5866.775729
440,105776,-28142.123912
440,105776,-10820.055938
440,105776,-13869.622485
440,105776,-12204.72727
440,105776,-14953.371402
440,105776,-8545.151396
440,105776,-30678.683597
480,115392,14160.13011
480,115392,-19277.877009
480,115392,-11752.64576
480,115392,-22032.610544
480,115392,-29405.754533
480,115392,-19058.96541
480,115392,-16087.688668
480,115392,-11923.641062
520,125008,-32288.599388
520,125008,-14399.936679
520,125008,-22965.676761
520,125008,-12748.285622
520,125008,-24484.223596
520,125008,-18014.590453
520,125008,-19393.416678
520,125008,-13535.816757
560,134624,-24725.990563
560,134624,-22344.651928
560,134624,4942.430656
560,134624,-14166.475651
560,134624,-24706.991566
560,134624,-16823.679187
560,134624,-24740.826245
560,134624,-14794.366621
601,144240,-15228.179647
601,144240,-13976.037717
601,144240,-34552.804292
601,144240,-8506.245023
601,144240,-23492.771139
601,144240,-15079.661358
601,144240,-12588.676523
601,144240,-14979.711233
641,153856,-29770.839177
641,153856,10939.346279
641,153856,-23434.104719
641,153856,-22344.681038
641,153856,1144.706765
641,153856,-14779.841361
641,153856,-19771.321064
641,153856,-14060.297913
681,163472,10965.93896
681,163472,-19440.211202
681,163472,-24690.530575
681,163472,-24784.016463
681,163472,-17865.68074
681,163472,-14455.928833
681,163472,-7223.864806
681,163472,-17740.446243
721,173088,-14854.881645
721,173088,-14543.43111
721,173088,-14019.616767
721,173088,-23326.309253
721,173088,-15295.968977
721,173088,7974.9341
721,173088,-10921.134792
721,173088,-28167.006583
761,182704,-14255.73731
761,182704,-21738.753239
761,182704,-12289.479577
