episode,timestep,reward
1,2400,22.1044
3,4800,1.9653
5,7200,6.8393
7,9600,48.0694
9,12000,833.8863
11,14400,529.1815
13,16800,23.6223
15,19200,603.8652
17,21600,217.4568
19,24000,227.9593
21,26400,922.2458
23,28800,257.7177
25,31200,25.5358
27,33600,21.7399
29,36000,20.5516
31,38400,11.2356
33,40800,26.531
35,43200,12.5826
37,45600,21.1124
39,48000,24.7069
41,50400,23.5049
43,52800,14.0402
45,55200,62.1889
47,57600,10.8764
49,60000,26.0827
51,62400,24.6108
53,64800,28.4763
55,67200,164.284
57,69600,17.4303
59,72000,50.5502
61,74400,494.1548
63,76800,431.9298
65,79200,24.2617
67,81600,261.072
69,84000,569.0258
71,86400,1443.7192
73,88800,358.9441
75,91200,501.4574
77,93600,624.3332
79,96000,228.5574
81,98400,29.0798
83,100800,17.4179
85,103200,25.4749
87,105600,222.9339
89,108000,17.6788
91,110400,15.1646
93,112800,14.115
95,115200,21.5093
97,117600,25.8395
99,120000,544.3476
101,122400,147.0245
103,124800,127.7376
105,127200,883.0561
107,129600,505.6126
109,132000,88.8905
111,134400,795.1497
113,136800,259.7864
115,139200,1624.2318
117,141600,1438.0565
119,144000,1399.5819
121,146400,341.4515
123,148800,522.6536
125,151200,1632.6837
127,153600,1578.114
129,156000,674.7222
131,158400,213.0805
133,160800,385.2168
135,163200,170.0832
137,165600,1118.3538
139,168000,533.3682
141,170400,1855.5777
143,172800,1654.6949
145,175200,1519.9946
147,177600,1133.3418
149,180000,757.7027
151,182400,3196.8796
153,184800,2389.0715
155,187200,1143.1237
157,189600,1951.8172
159,192000,1182.3011
161,194400,1102.3672
163,196800,2507.3583
165,199200,25.5583
167,201600,98.9837
169,204000,17.1104
171,206400,25.8059
173,208800,22.1625
175,211200,20.3993
177,213600,54.8539
179,216000,77.6903
181,218400,522.706
183,220800,249.3865
185,223200,1283.5648
187,225600,54.1636
189,228000,85.553
191,230400,17.128
193,232800,1362.8433
195,235200,22.888
197,237600,21.4222
199,240000,38.1959
201,242400,51.7556
203,244800,21.0969
205,247200,14.6606
207,249600,15.1933
209,252000,51.5439
211,254400,20.3064
213,256800,1132.0771
215,259200,355.586
217,261600,16.1121
219,264000,17.3396
221,266400,44.1377
223,268800,22.7738
225,271200,46.0291
227,273600,68.5352
229,276000,52.7147
231,278400,35.9446
233,280800,24.7905
235,283200,22.1413
237,285600,27.117
239,288000,23.077
241,290400,155.6541
243,292800,44.6329
245,295200,28.0898
247,297600,43.045
249,300000,69.182
251,302400,27.6012
253,304800,23.365
255,307200,42.2182
257,309600,36.6062
259,312000,49.4473
261,314400,34.7345
263,316800,38.2995
265,319200,242.4163
267,321600,24.3729
269,324000,26.6313
271,326400,105.6338
273,328800,65.9186
275,331200,17.0899
277,333600,20.3948
279,336000,1718.6929
281,338400,69.828
283,340800,20.9277
285,343200,56.8505
287,345600,36.1326
289,348000,23.2714
291,350400,44.1682
293,352800,40.7275
295,355200,1563.2177
297,357600,19.7345
299,360000,20.9947
301,362400,63.0727
303,364800,46.7568
305,367200,42.5005
307,369600,45.5542
309,372000,24.5457
311,374400,25.9736
313,376800,50.1825
315,379200,47.4412
317,381600,69.4253
319,384000,95.3184
321,386400,147.2972
323,388800,1892.8124
325,391200,45.327
327,393600,45.0513
329,396000,193.7543
331,398400,76.8709
333,400800,34.9159
335,403200,1945.665
337,405600,67.5479
339,408000,68.2516
341,410400,119.4966
343,412800,107.0045
345,415200,75.6542
347,417600,102.0759
349,420000,90.2766
351,422400,118.459
353,424800,54.5901
355,427200,302.6429
357,429600,104.2051
359,432000,103.5424
361,434400,38.1825
363,436800,75.776
365,439200,2418.3632
367,441600,25.8722
369,444000,2384.8736
371,446400,139.7378
373,448800,75.0295
375,451200,106.2261
377,453600,80.5584
379,456000,45.3769
381,458400,76.271
383,460800,64.0642
385,463200,2149.4505
387,465600,126.747
389,468000,72.1311
391,470400,289.5533
393,472800,58.1955
395,475200,93.5465
397,477600,27.2249
399,480000,130.3746
401,482400,113.6526
403,484800,87.6914
405,487200,92.34
407,489600,83.3962
409,492000,192.7205
411,494400,89.6339
413,496800,2573.0484
415,499200,26.409
417,501600,85.9161
419,504000,2629.1381
421,506400,80.0782
423,508800,2666.0021
425,511200,428.0337
427,513600,107.4229
429,516000,74.1136
431,518400,617.4489
433,520800,108.8707
435,523200,55.1913
437,525600,318.8806
439,528000,125.4638
441,530400,119.3804
443,532800,2644.1316
445,535200,165.778
447,537600,2412.6767
449,540000,2692.8656
451,542400,96.9063
453,544800,118.3389
455,547200,30.7326
457,549600,19.9309
459,552000,88.7382
461,554400,40.4038
463,556800,652.8919
465,559200,77.2489
467,561600,35.2741
469,564000,120.3316
471,566400,5425.1204
473,568800,83.3513
475,571200,410.4118
477,573600,172.2892
479,576000,30.0728
481,578400,32.2324
483,580800,321.9765
485,583200,29.6956
487,585600,60.9129
489,588000,109.9982
491,590400,333.5796
493,592800,92.9128
495,595200,3205.225
497,597600,28.8949
499,600000,139.0497
501,602400,25.0828
503,604800,13.6961
505,607200,116.5456
507,609600,144.5633
509,612000,17.1425
511,614400,60.0797
513,616800,25.7421
515,619200,2975.7447
517,621600,132.7222
519,624000,101.6953
521,626400,80.1082
523,628800,46.1083
525,631200,41.8787
527,633600,118.2466
529,636000,24.8173
531,638400,314.705
533,640800,36.7085
535,643200,241.5493
537,645600,27.5948
539,648000,29.1911
541,650400,38.3114
543,652800,27.7886
545,655200,33.043
547,657600,27.1134
549,660000,18.9847
551,662400,26.0337
553,664800,21.5436
555,667200,345.7413
557,669600,36.2283
559,672000,46.093
561,674400,30.971
563,676800,49.9568
565,679200,37.5359
567,681600,36.0109
569,684000,51.374
571,686400,29.9744
573,688800,37.9611
575,691200,40.258
577,693600,35.7763
579,696000,101.2487
581,698400,44.5114
583,700800,276.3955
585,703200,211.8718
587,705600,54.7595
589,708000,50.2011
591,710400,38.1926
593,712800,63.9288
595,715200,173.6024
597,717600,17.7554
599,720000,39.5464
601,722400,26.3377
603,724800,17.733
605,727200,38.0789
607,729600,61.4809
609,732000,69.2538
611,734400,71.5491
613,736800,29.868
615,739200,26.8131
617,741600,37.1432
619,744000,52.4705
621,746400,19.0999
623,748800,73.0936
625,751200,33.6735
627,753600,29.2787
629,756000,73.297
631,758400,93.3281
633,760800,84.3428
635,763200,23.8091
