episode,timestep,reward
41,300,5.3733
109,600,3.3305
184,900,3.0438
259,1200,3.0443
334,1500,3.0444
406,1800,3.1594
477,2100,3.2458
552,2400,3.0441
627,2700,3.044
695,3000,3.3468
768,3300,3.1082
843,3600,3.0455
911,3900,3.3885
986,4200,3.0449
1061,4500,3.0449
1136,4800,3.045
1211,5100,3.0451
1286,5400,3.0448
1361,5700,3.0443
1436,6000,3.0447
1510,6300,3.0451
1579,6600,3.3184
1654,6900,3.0442
1729,7200,3.0454
1804,7500,3.0454
1879,7800,3.0453
1954,8100,3.0453
2029,8400,3.0454
2104,8700,3.0454
2179,9000,3.0448
2254,9300,3.045
2329,9600,3.0455
2404,9900,3.0451
2479,10200,3.0531
2554,10500,3.0431
2629,10800,3.0448
2704,11100,3.0456
2776,11400,3.1829
2851,11700,3.0448
2926,12000,3.046
2995,12300,3.3046
3070,12600,3.0458
3145,12900,3.0454
3220,13200,3.0452
3295,13500,3.0457
3370,13800,3.0449
3445,14100,3.0444
3520,14400,3.0441
3595,14700,3.0447
3670,15000,3.0444
3745,15300,3.0443
3820,15600,3.0439
3895,15900,3.0442
3970,16200,3.0443
4045,16500,3.0443
4120,16800,3.0438
4195,17100,3.044
4270,17400,3.0446
4345,17700,3.0449
4419,18000,3.0647
4494,18300,3.0449
4569,18600,3.0448
4644,18900,3.0445
4719,19200,3.0447
4794,19500,3.0449
4869,19800,3.0452
4944,20100,3.0454
5019,20400,3.0455
5094,20700,3.0456
5169,21000,3.0463
5244,21300,3.0458
5318,21600,3.1058
5393,21900,3.0446
5468,22200,3.0456
5541,22500,3.1389
5615,22800,3.0761
5690,23100,3.0456
5765,23400,3.0438
5840,23700,3.0434
5915,24000,3.0429
5990,24300,3.0431
6065,24600,3.0426
6140,24900,3.0434
6215,25200,3.0442
6289,25500,3.0651
6364,25800,3.0448
6439,26100,3.0455
6514,26400,3.0455
6589,26700,3.0452
6664,27000,3.0457
6739,27300,3.0457
6814,27600,3.0457
6889,27900,3.0465
6964,28200,3.0557
