episode,timestep,reward
34,300,8.1146
77,600,7.1727
127,900,6.7286
173,1200,7.4317
217,1500,8.4634
261,1800,8.1783
309,2100,7.5868
347,2400,10.3782
383,2700,11.2499
419,3000,11.2771
454,3300,12.1088
487,3600,12.6896
519,3900,13.7632
552,4200,12.8041
586,4500,12.3783
617,4800,14.111
643,5100,17.3972
663,5400,22.7981
685,5700,21.8423
705,6000,23.7612
727,6300,26.0261
740,6600,42.7686
749,6900,94.5872
755,7200,75.1753
761,7500,111.9684
770,7800,67.453
787,8100,40.642
801,8400,59.336
813,8700,51.7684
828,9000,38.6946
836,9300,87.2993
842,9600,70.6069
850,9900,120.279
864,10200,53.2762
880,10500,48.6575
897,10800,38.1498
908,11100,93.6899
915,11400,60.8767
924,11700,62.5386
931,12000,87.7313
942,12300,64.7795
956,12600,53.9552
973,12900,39.6156
988,13200,48.1819
1002,13500,46.8352
1019,13800,28.9236
1035,14100,39.659
1047,14400,72.2766
1058,14700,83.444
1069,15000,82.9446
1078,15300,111.8035
1083,15600,216.3311
1089,15900,88.7942
1094,16200,94.3191
1104,16500,97.0286
1115,16800,100.5849
1121,17100,135.0264
1129,17400,128.7121
1135,17700,119.4361
1141,18000,170.6919
1147,18300,132.0705
1153,18600,144.6309
1158,18900,136.8571
1164,19200,133.5331
1169,19500,100.5824
1175,19800,92.6091
1181,20100,81.7926
1189,20400,91.0731
1196,20700,156.8975
1204,21000,103.6655
1210,21300,168.5261
1216,21600,160.6852
1223,21900,207.6711
1229,22200,152.745
1235,22500,142.0174
1242,22800,62.2394
1249,23100,104.2809
1255,23400,157.1576
1263,23700,122.7457
1276,24000,79.4557
1286,24300,89.8985
1295,24600,102.9884
1303,24900,120.1473
1312,25200,108.1062
1318,25500,139.9026
1324,25800,148.8234
1331,26100,120.6516
1338,26400,132.2629
1344,26700,159.2253
1351,27000,131.4179
1358,27300,118.3927
1366,27600,119.2581
1376,27900,88.2975
1383,28200,107.8304
1395,28500,78.4861
1406,28800,97.6616
1414,29100,106.3393
1423,29400,76.9985
1428,29700,110.3359
1438,30000,124.5026
1448,30300,96.4528
1453,30600,176.8254
1459,30900,102.3595
1465,31200,134.3045
1471,31500,78.1705
1478,31800,132.8392
1490,32100,78.1322
1502,32400,66.4696
1516,32700,69.1655
1527,33000,93.456
1545,33300,41.5351
1564,33600,35.7646
1580,33900,44.2761
1597,34200,48.7711
1614,34500,44.1077
1629,34800,49.7084
1636,35100,125.544
1643,35400,91.9841
1648,35700,100.4381
1656,36000,66.2176
1661,36300,59.0594
1675,36600,79.859
1688,36900,73.2271
1702,37200,69.4147
1714,37500,75.7725
1722,37800,75.286
1729,38100,163.9494
1742,38400,71.6907
1750,38700,100.8131
1759,39000,103.7505
