episode,timestep,reward
1,50,7.565982
1,55,8.223687
1,55,8.206979
2,85,12.897499
3,90,6.035825
3,105,14.574634
4,120,9.742252
4,135,4.527872
4,145,13.138055
5,150,4.572804
5,165,11.182857
5,175,12.717137
6,185,5.296366
6,190,8.248185
6,200,8.296195
7,235,7.534921
7,235,8.93464
8,240,10.707061
8,255,9.737636
9,290,12.769129
10,310,11.370736
10,310,8.25603
11,330,12.99572
11,355,6.736659
12,385,14.934597
13,395,6.042487
13,400,10.379681
13,410,14.998945
14,425,6.057447
14,435,6.031309
14,440,21.343116
14,440,5.99918
15,465,6.038222
15,475,6.047282
16,480,6.008651
16,485,6.73947
17,515,7.497301
18,540,8.193901
18,550,19.434911
18,555,11.20116
18,560,12.5475
19,575,5.28249
19,585,5.320494
19,595,6.031607
20,600,6.044376
21,630,8.274089
21,635,13.230528
21,645,7.457242
22,660,8.880304
23,690,8.195613
23,715,10.106243
24,745,11.973801
24,745,16.419186
25,765,25.278449
25,765,10.866941
26,780,9.537583
26,785,6.070858
26,795,4.566034
27,820,5.296071
27,820,8.185182
27,830,5.287664
28,845,9.75461
28,860,4.554048
29,870,7.497308
29,880,5.297036
30,910,6.055372
30,915,8.293103
30,915,5.297508
30,925,15.265736
31,955,6.823341
32,970,8.152479
32,980,8.218991
33,1000,12.510187
34,1020,7.483869
34,1025,23.608533
34,1035,5.310623
35,1050,10.418784
35,1065,4.553395
35,1075,8.216424
36,1080,4.538615
36,1105,20.629517
37,1110,6.810133
37,1115,12.791357
37,1135,8.988724
38,1160,7.592694
38,1165,9.00171
39,1170,5.318066
39,1185,10.196759
39,1195,15.398074
40,1220,8.964436
41,1230,8.957645
41,1240,10.860068
41,1240,6.821271
42,1260,6.052663
42,1285,8.217286
42,1285,6.815736
43,1290,7.557999
43,1300,15.729376
43,1305,6.742225
44,1320,5.315246
44,1330,6.03955
44,1340,6.042321
44,1345,6.049303
45,1365,11.871423
45,1370,7.469893
46,1385,8.235363
46,1405,6.063997
47,1415,11.082126
47,1425,8.204415
48,1445,8.981368
48,1460,5.288999
48,1460,8.334542
50,1500,12.759745
51,1530,10.562545
51,1545,13.764048
51,1550,13.136156
52,1580,12.002343
52,1585,6.113591
53,1590,6.074761
53,1590,8.919274
54,1620,5.281113
54,1630,7.498472
54,1630,6.049769
54,1645,8.30274
55,1665,6.747131
55,1665,5.300005
55,1665,18.869977
56,1680,7.491304
