episode,timestep,reward
13,300,20.3565
29,600,21.5146
49,900,12.1138
69,1200,12.5623
79,1500,44.7045
93,1800,18.6497
104,2100,29.0442
111,2400,54.2252
118,2700,46.3072
129,3000,24.5042
138,3300,56.5701
142,3600,72.6826
149,3900,133.6749
156,4200,128.5502
161,4500,138.2599
168,4800,57.3494
171,5100,150.8161
173,5400,215.0905
178,5700,124.7504
181,6000,192.6093
184,6300,139.5293
188,6600,168.6175
193,6900,146.5966
198,7200,126.7153
203,7500,132.6307
207,7800,160.2349
210,8100,239.2874
214,8400,206.7111
219,8700,162.9183
225,9000,111.6108
230,9300,148.1299
233,9600,119.4556
237,9900,237.9218
241,10200,226.6167
245,10500,176.9988
250,10800,139.5879
256,11100,153.2288
260,11400,222.127
262,11700,198.1217
265,12000,259.0865
268,12300,185.1998
273,12600,148.7511
278,12900,156.1171
282,13200,187.5764
285,13500,258.4948
288,13800,257.4134
292,14100,230.0457
297,14400,172.7452
301,14700,234.9882
304,15000,249.9008
306,15300,285.825
311,15600,232.566
314,15900,164.8642
319,16200,163.2267
324,16500,195.1317
328,16800,225.0717
331,17100,282.4977
334,17400,245.8312
337,17700,255.8807
342,18000,177.2861
344,18300,277.8787
347,18600,246.6612
351,18900,197.2448
354,19200,240.6594
358,19500,229.6364
362,19800,246.6286
366,20100,247.4606
370,20400,211.2047
374,20700,196.7068
379,21000,227.0147
381,21300,332.8863
385,21600,270.9876
389,21900,192.217
392,22200,286.3875
396,22500,303.547
399,22800,261.6201
403,23100,258.0255
407,23400,257.9169
411,23700,225.9486
414,24000,294.4376
417,24300,213.2368
421,24600,189.3283
424,24900,193.7569
428,25200,220.1062
431,25500,254.9937
435,25800,227.1642
438,26100,296.5357
440,26400,311.7874
443,26700,303.7822
447,27000,232.9876
450,27300,226.5198
452,27600,259.7385
456,27900,270.6773
460,28200,253.6867
463,28500,229.6956
466,28800,229.4619
469,29100,388.787
472,29400,259.764
476,29700,254.1952
479,30000,272.6213
483,30300,259.969
485,30600,292.328
489,30900,276.7078
493,31200,258.897
495,31500,331.9361
498,31800,330.2874
501,32100,279.3925
504,32400,278.4817
506,32700,283.1673
510,33000,272.9066
513,33300,274.7821
517,33600,227.1121
521,33900,251.3425
524,34200,222.7056
527,34500,289.7441
531,34800,251.7617
533,35100,300.1517
536,35400,295.5033
539,35700,282.907
542,36000,306.8181
545,36300,329.2047
548,36600,258.6662
551,36900,259.9831
555,37200,287.0185
558,37500,313.9501
563,37800,253.5442
566,38100,263.4627
569,38400,282.0468
571,38700,281.4055
574,39000,258.9018
577,39300,266.0617
580,39600,286.5206
583,39900,307.8158
585,40200,390.3849
588,40500,315.5564
591,40800,317.7835
594,41100,343.6336
597,41400,230.2748
601,41700,277.1094
603,42000,311.3186
606,42300,319.5034
608,42600,346.5409
610,42900,318.2175
613,43200,333.1063
615,43500,383.6907
617,43800,395.938
619,44100,368.5359
621,44400,344.4347
624,44700,320.3828
626,45000,325.8183
629,45300,320.556
631,45600,386.8694
633,45900,347.4124
636,46200,261.0863
638,46500,330.1281
641,46800,365.2776
644,47100,296.2947
646,47400,378.9239
648,47700,288.5037
650,48000,365.6524
653,48300,321.5833
656,48600,326.7157
659,48900,298.5579
661,49200,413.7899
663,49500,354.1924
665,49800,334.2603
667,50100,353.9719
669,50400,308.373
671,50700,335.7862
673,51000,306.436
675,51300,326.3557
677,51600,325.8635
679,51900,332.1
681,52200,304.5582
684,52500,312.7756
686,52800,405.2523
688,53100,356.5951
690,53400,310.8441
693,53700,340.9365
696,54000,229.1542
698,54300,308.49
700,54600,371.3981
702,54900,394.4312
705,55200,288.9865
707,55500,266.5181
710,55800,409.9714
712,56100,421.7068
714,56400,384.3529
716,56700,316.2801
718,57000,295.976
720,57300,356.6194
723,57600,319.3289
725,57900,453.6933
727,58200,347.0604
729,58500,414.5501
731,58800,415.2707
733,59100,383.8592
735,59400,455.2419
737,59700,292.3184
740,60000,340.6321
742,60300,274.6175
745,60600,307.5658
747,60900,365.0814
749,61200,379.181
752,61500,233.4886
754,61800,398.2307
756,62100,430.2487
758,62400,378.9049
761,62700,349.607
763,63000,359.0473
765,63300,363.5214
767,63600,382.3664
769,63900,373.0308
771,64200,393.7507
773,64500,313.5561
775,64800,383.6733
777,65100,383.864
779,65400,352.5418
781,65700,423.2009
783,66000,334.2967
786,66300,300.8915
788,66600,354.0904
790,66900,396.9335
792,67200,346.7347
794,67500,340.1969
796,67800,350.929
798,68100,350.2837
800,68400,311.4814
802,68700,372.3596
804,69000,382.1188
806,69300,370.4273
808,69600,376.9377
810,69900,471.9416
812,70200,355.3604
814,70500,304.9189
817,70800,254.8458
819,71100,357.5208
821,71400,311.7555
823,71700,286.486
825,72000,375.9055
827,72300,299.895
829,72600,414.6758
831,72900,294.1987
833,73200,271.2877
836,73500,355.144
838,73800,298.8153
840,74100,266.6787
842,74400,249.9707
844,74700,317.199
846,75000,285.3478
848,75300,320.1224
850,75600,247.9476
853,75900,295.6278
855,76200,311.3369
857,76500,241.7397
859,76800,348.8479
862,77100,205.9761
864,77400,244.3952
866,77700,263.9223
868,78000,297.841
870,78300,285.0084
873,78600,251.8072
875,78900,290.1809
877,79200,252.4575
879,79500,360.9808
881,79800,244.5007
883,80100,337.2671
885,80400,346.8299
887,80700,288.2955
890,81000,308.1919
892,81300,268.6852
894,81600,305.062
897,81900,260.2691
899,82200,363.478
901,82500,290.507
903,82800,368.0319
905,83100,281.5415
907,83400,332.3866
909,83700,254.3861
912,84000,358.4913
914,84300,254.8719
916,84600,310.4994
918,84900,368.7098
920,85200,274.9431
923,85500,284.8716
925,85800,297.5047
927,86100,409.8185
929,86400,343.1259
931,86700,319.2797
933,87000,314.0943
935,87300,329.9818
937,87600,363.3755
939,87900,261.9995
941,88200,227.9611
944,88500,279.9946
946,88800,332.642
948,89100,303.4816
950,89400,225.481
952,89700,351.4537
954,90000,324.6173
957,90300,363.8923
959,90600,380.1468
961,90900,345.2214
963,91200,282.5678
965,91500,362.3065
967,91800,349.0447
970,92100,290.827
972,92400,321.3712
975,92700,285.2351
977,93000,294.4032
979,93300,234.9727
981,93600,439.3344
983,93900,350.9277
985,94200,349.1692
987,94500,382.8194
989,94800,351.6813
991,95100,367.442
993,95400,318.7707
995,95700,422.5932
997,96000,401.9358
1000,96300,315.6034
1002,96600,336.3748
1004,96900,386.8331
1006,97200,393.6005
1008,97500,390.2985
1010,97800,434.8748
1012,98100,424.2293
1014,98400,344.0697
1016,98700,355.154
1018,99000,367.4351
1021,99300,313.1986
1023,99600,269.6648
1025,99900,299.5148
1027,100200,293.5658
1030,100500,319.5962
1032,100800,335.1742
1034,101100,394.1661
1037,101400,236.4141
1039,101700,322.5596
1041,102000,297.3832
1043,102300,247.8797
1046,102600,262.2633
1048,102900,343.172
1050,103200,368.049
1052,103500,403.9052
1054,103800,349.3036
1056,104100,385.6186
1058,104400,352.9542
1060,104700,428.1122
1062,105000,346.3821
1064,105300,345.3157
1066,105600,402.2272
1068,105900,315.2003
1070,106200,462.5388
1073,106500,354.7242
1075,106800,389.9561
1077,107100,400.0701
1079,107400,368.4932
1081,107700,290.9919
1083,108000,353.3396
1085,108300,377.7664
1087,108600,338.2438
1089,108900,420.7128
1091,109200,437.3009
1093,109500,303.9389
1095,109800,312.6086
1097,110100,370.7758
1099,110400,381.1091
1101,110700,343.1604
1103,111000,313.2689
1105,111300,296.2674
1109,111600,207.5381
1111,111900,382.1156
1113,112200,366.2142
1116,112500,355.5777
1118,112800,406.7073
1120,113100,403.0684
1122,113400,406.9971
1124,113700,418.7082
1126,114000,381.8758
1128,114300,415.7543
1130,114600,353.596
1132,114900,382.9723
1134,115200,328.2603
1136,115500,319.7024
1138,115800,339.1631
1140,116100,344.6057
1142,116400,442.6099
1144,116700,443.7461
1146,117000,370.6926
1148,117300,395.8351
1150,117600,343.1038
1152,117900,348.2022
1154,118200,363.222
1156,118500,330.6018
1158,118800,425.3689
1160,119100,389.7862
1162,119400,412.286
1164,119700,321.5103
1166,120000,382.388
1168,120300,352.6592
1171,120600,367.5646
1173,120900,386.8554
1175,121200,384.4129
1177,121500,300.6677
1180,121800,342.2466
1182,122100,303.905
1185,122400,311.582
1187,122700,281.8398
1190,123000,343.214
1192,123300,366.3401
1194,123600,361.8556
1196,123900,383.4233
1198,124200,362.2617
1200,124500,373.3833
1202,124800,366.6091
1205,125100,269.3117
1208,125400,230.5543
1210,125700,421.1861
1212,126000,283.3785
1214,126300,359.3541
1217,126600,357.3527
1219,126900,332.5675
1222,127200,296.2611
1224,127500,326.1169
1226,127800,398.5832
1228,128100,417.3698
1230,128400,371.3571
1232,128700,346.9908
1235,129000,375.958
1237,129300,450.6457
1239,129600,427.1698
1241,129900,301.547
1243,130200,305.9625
1245,130500,362.3802
1247,130800,326.4902
1249,131100,463.1186
1251,131400,406.4546
1253,131700,430.7166
1255,132000,368.3721
1257,132300,308.357
1259,132600,384.228
1261,132900,273.2944
1263,133200,368.1833
1265,133500,353.749
1267,133800,374.2872
1269,134100,358.8847
1271,134400,387.8673
1274,134700,321.2758
