episode,timestep,reward
2,72,5.015371
2,88,7.617277
3,96,7.318746
3,104,7.232875
4,120,38.718922
4,120,13.748514
4,144,35.753164
5,160,4.797435
5,176,14.703595
6,184,8.730067
6,192,6.685163
6,200,7.771426
7,224,7.274881
7,232,15.778568
8,240,3.907941
8,240,4.75541
8,264,7.544574
9,272,8.826122
9,296,4.868773
9,296,8.767024
9,296,5.755968
10,312,4.765113
11,344,11.808511
11,352,3.797742
12,360,14.046809
12,368,4.801884
12,384,30.549815
12,384,12.006236
13,416,7.500029
14,440,6.607619
14,448,6.172761
14,448,10.51975
15,464,27.995365
16,496,63.046919
16,504,4.390901
17,528,12.378752
19,576,5.248003
19,584,3.079346
19,592,39.177618
19,592,10.916455
20,608,23.631455
21,640,3.937137
21,648,4.72409
21,648,14.400816
22,672,7.463265
22,680,17.069671
23,704,7.13868
23,712,11.131077
24,728,14.310387
24,736,6.029088
25,752,121.568164
25,776,4.238977
26,800,7.482212
26,800,45.228016
26,808,5.556687
28,848,11.831289
28,848,58.610837
28,864,11.5805
28,864,6.512128
29,872,9.896717
30,904,8.018567
30,912,6.732905
30,920,7.657692
30,928,4.292504
31,952,15.456414
32,968,5.529339
32,976,5.062665
32,984,13.768071
33,1008,13.498599
34,1032,16.047221
34,1040,9.351332
35,1064,10.99038
36,1096,22.751943
37,1112,18.021766
37,1112,5.211748
37,1120,16.61535
37,1120,7.919019
39,1176,22.964736
39,1184,10.238401
40,1200,13.398149
40,1200,27.382325
40,1200,6.695788
40,1216,5.790893
41,1232,39.51027
41,1248,9.613657
41,1256,7.252686
41,1256,10.962047
42,1272,6.720332
43,1296,11.058734
44,1328,15.185814
44,1336,20.795145
45,1352,9.330298
45,1360,11.574252
46,1392,8.564626
46,1400,4.284232
46,1408,8.756511
48,1456,6.725903
48,1464,4.962009
50,1504,13.993866
52,1568,4.593647
53,1616,13.053372
54,1648,16.288412
56,1680,6.171066
56,1704,14.172843
57,1728,9.437406
59,1792,24.950218
60,1808,17.247074
60,1824,20.405251
62,1864,12.902564
62,1864,5.59271
62,1872,19.114698
62,1880,185.008987
63,1912,7.95978
64,1920,71.597385
64,1928,10.298797
65,1960,13.535584
65,1968,5.887217
66,1984,4.994825
66,2000,42.309492
