episode,timestep,reward
2,64,0.858285
2,80,1.149978
2,80,1.104491
2,88,1.171025
3,96,1.273225
3,112,1.639901
4,136,1.980066
4,136,0.967925
4,144,0.880399
5,168,2.21485
6,192,1.400587
6,192,1.251526
6,200,0.844363
7,216,0.637118
7,216,1.467889
8,240,0.677561
8,256,0.870221
8,264,1.701815
8,264,0.87509
9,272,0.775569
9,280,1.686843
9,296,0.762633
10,304,1.260778
10,328,0.7484
12,360,2.093339
12,376,1.078726
12,376,1.344395
12,384,1.968357
12,384,1.641136
13,408,1.381131
13,408,1.173099
13,416,0.799084
14,440,0.753887
14,448,1.698761
15,472,0.867817
16,496,1.627637
16,496,1.231023
17,528,2.164374
18,552,1.110796
18,568,0.973515
19,576,1.990103
19,584,1.655448
20,616,1.486046
21,632,0.883202
21,640,2.043829
21,640,1.436896
21,640,0.888757
21,656,2.102965
21,656,1.267208
22,680,0.866254
22,688,0.667763
23,696,0.883068
23,704,0.84496
23,712,0.979242
24,744,0.851945
25,752,0.888353
25,752,1.913019
25,760,0.880571
25,768,0.860476
25,768,0.77402
27,816,2.278553
27,824,1.119828
27,824,0.759531
27,832,1.049553
28,848,1.339916
29,880,1.788191
29,888,0.755324
29,888,1.772558
29,888,0.955785
29,896,1.752866
29,896,0.984356
31,936,0.789033
31,936,0.665058
31,952,0.881946
32,960,0.870656
32,976,1.178913
33,992,1.568887
33,1000,0.855764
33,1016,1.478447
34,1024,1.660821
34,1032,1.089449
35,1056,1.255298
35,1056,1.127094
36,1104,1.132734
36,1104,1.48345
37,1128,0.938594
37,1128,1.392674
38,1144,1.410374
39,1176,1.022625
39,1192,1.616161
40,1200,0.935403
40,1208,1.036574
40,1224,2.392767
40,1224,1.498329
41,1248,1.349249
41,1256,0.888033
42,1264,0.869939
42,1272,0.663238
43,1296,1.620088
43,1312,0.750581
43,1312,1.19814
44,1328,0.772
44,1336,0.945355
44,1344,1.755663
45,1352,1.487952
45,1360,0.891465
45,1376,0.649815
46,1392,1.12274
46,1408,0.783445
47,1424,1.064293
48,1448,1.846716
48,1456,0.884715
48,1464,1.181971
48,1464,0.764783
49,1480,2.338954
49,1480,1.565293
50,1520,1.869748
50,1528,1.005568
51,1536,0.785681
51,1552,1.181629
51,1552,1.541515
52,1568,1.176202
52,1568,0.667134
53,1600,1.779516
53,1608,1.787013
54,1632,1.086582
55,1656,0.764167
56,1680,1.615608
56,1696,1.249623
56,1704,0.654095
57,1712,1.928784
57,1720,1.20282
57,1720,1.823236
57,1728,0.651341
58,1768,3.063502
59,1776,0.99239
59,1792,1.798966
59,1792,1.013406
59,1792,1.223293
60,1800,1.215913
60,1816,1.32957
61,1856,1.12711
62,1864,1.269138
62,1872,0.773605
62,1880,1.171739
62,1880,1.121982
63,1912,2.602442
64,1920,1.910138
64,1936,0.802299
65,1952,1.248662
65,1960,2.103216
65,1968,1.351465
65,1976,1.280906
66,1984,1.535503
66,1984,1.00926
66,2000,0.87884
67,2016,0.876166
67,2024,0.904095
68,2048,0.978921
68,2056,1.200577
68,2056,1.011154
68,2064,1.106798
69,2072,0.65599
69,2080,1.081014
69,2088,0.969232
69,2088,1.618664
70,2112,0.769879
70,2128,0.849629
71,2144,0.77935
71,2152,0.859749
72,2184,1.825979
72,2184,1.449516
73,2192,1.115535
73,2208,0.87925
73,2216,1.246904
73,2216,1.479695
74,2232,1.728463
74,2248,0.918292
75,2272,0.900675
76,2280,1.145647
77,2312,1.29247
77,2320,1.384912
77,2336,0.757667
77,2336,1.261974
78,2344,0.951897
78,2360,1.803518
80,2424,1.367623
81,2448,1.628743
81,2448,1.549135
82,2472,2.158238
82,2480,2.165551
82,2480,1.892199
83,2504,0.758646
83,2512,1.141977
83,2512,2.017595
84,2536,0.921913
84,2544,0.912022
84,2544,1.270589
84,2544,0.873523
86,2584,0.984992
86,2592,0.758831
86,2592,1.170142
86,2608,0.897563
87,2632,1.220947
87,2632,2.519012
88,2640,1.290429
88,2656,0.990105
88,2656,2.11388
88,2664,0.917681
88,2664,0.757931
88,2664,0.986743
90,2712,0.664333
90,2712,0.749433
90,2720,1.059921
92,2760,1.336665
92,2784,1.820826
92,2784,0.950433
93,2792,1.689692
93,2816,1.259222
94,2824,2.367166
94,2832,2.074365
94,2848,1.732998
95,2856,0.950496
95,2856,1.320138
95,2856,0.945404
95,2872,1.112992
96,2888,0.890888
97,2920,0.854321
98,2960,1.173452
98,2960,1.445556
98,2968,1.594313
99,2976,1.842542
99,2992,1.492843
100,3008,2.002448
100,3016,1.221095
101,3032,0.756695
101,3040,1.101552
101,3048,1.038893
102,3088,0.778557
102,3088,1.421008
103,3096,1.966224
103,3112,1.402679
104,3120,1.108359
105,3152,1.491153
105,3160,0.860308
105,3160,1.497616
105,3168,0.801698
105,3168,0.657128
105,3168,1.121511
106,3192,1.441764
107,3216,0.793224
108,3256,1.189446
108,3256,1.202686
109,3280,1.147943
109,3296,1.125909
110,3304,1.896114
110,3320,1.554378
110,3328,0.966023
111,3336,1.103212
112,3368,0.859507
113,3392,0.898179
113,3400,2.974007
113,3400,0.868224
113,3408,1.435241
113,3408,0.543113
113,3408,1.650133
114,3440,2.010164
115,3456,0.874724
115,3472,0.974895
115,3472,1.805932
