episode,timestep,reward
46,480,1.1352
84,960,1.3315
114,1440,1.6041
145,1920,1.3555
174,2400,1.6939
202,2880,1.6686
221,3360,2.3471
241,3840,2.3432
257,4320,2.1405
277,4800,2.3722
291,5280,2.8669
306,5760,3.2181
319,6240,3.0375
334,6720,3.5088
345,7200,3.1457
359,7680,3.3265
368,8160,4.1277
380,8640,4.4011
388,9120,5.2369
397,9600,7.4349
406,10080,4.157
416,10560,4.3818
425,11040,5.5714
431,11520,3.9328
438,12000,8.0938
448,12480,4.8052
457,12960,7.2344
464,13440,5.2588
471,13920,7.9259
478,14400,11.408
487,14880,6.2873
494,15360,12.5394
500,15840,13.5976
506,16320,16.4592
513,16800,14.0857
520,17280,13.959
525,17760,23.3724
532,18240,13.8683
540,18720,11.3433
548,19200,14.3308
553,19680,19.276
561,20160,14.5687
566,20640,18.1062
571,21120,27.3049
577,21600,17.9985
583,22080,28.7314
587,22560,33.6153
590,23040,54.5195
596,23520,28.9093
600,24000,34.8372
604,24480,35.6317
608,24960,31.9797
613,25440,36.9999
617,25920,38.5006
622,26400,39.8913
626,26880,23.9889
630,27360,35.3703
634,27840,30.0378
639,28320,34.5782
643,28800,34.3204
647,29280,39.0089
652,29760,34.2968
656,30240,40.3101
659,30720,51.578
663,31200,49.3268
666,31680,49.2162
669,32160,54.7822
673,32640,34.7815
677,33120,55.8225
680,33600,55.1141
684,34080,45.9298
687,34560,51.6344
690,35040,51.1396
693,35520,55.2853
697,36000,54.466
701,36480,47.6995
704,36960,48.3114
707,37440,53.3322
711,37920,50.0108
714,38400,49.5935
718,38880,50.3441
721,39360,57.8934
724,39840,49.4445
728,40320,51.9728
731,40800,55.4395
734,41280,56.3545
737,41760,65.0856
741,42240,48.7204
744,42720,63.3422
746,43200,66.6615
750,43680,49.4797
753,44160,60.2419
757,44640,53.9119
761,45120,43.9237
764,45600,74.0033
767,46080,71.0934
770,46560,71.8871
774,47040,53.0464
776,47520,86.8375
779,48000,71.5648
782,48480,61.1074
785,48960,75.6177
788,49440,73.6862
790,49920,88.3517
793,50400,63.6062
795,50880,70.2877
798,51360,73.1239
801,51840,114.5571
803,52320,78.144
805,52800,85.4203
808,53280,91.9711
811,53760,78.7094
813,54240,107.8936
815,54720,96.9981
818,55200,108.0528
820,55680,73.6377
822,56160,74.7946
825,56640,99.9107
827,57120,74.884
830,57600,93.8614
832,58080,87.6056
835,58560,95.3909
838,59040,51.9811
840,59520,80.8356
842,60000,106.1674
844,60480,116.4786
847,60960,80.7588
849,61440,95.4994
852,61920,81.6005
855,62400,84.3855
857,62880,105.9835
860,63360,54.4725
862,63840,112.5855
864,64320,114.6249
867,64800,86.8089
869,65280,114.9456
871,65760,116.8222
873,66240,143.0981
876,66720,82.6815
879,67200,86.3655
882,67680,63.5174
884,68160,113.7518
886,68640,108.3697
889,69120,103.5006
891,69600,129.9929
893,70080,155.5184
895,70560,140.5808
898,71040,104.7259
900,71520,142.6238
902,72000,122.3311
904,72480,109.3252
906,72960,108.9895
908,73440,121.2712
910,73920,133.4129
912,74400,128.5231
914,74880,143.2562
916,75360,121.1192
918,75840,142.9139
921,76320,131.8956
923,76800,131.4749
925,77280,133.9753
927,77760,127.6628
929,78240,115.6025
931,78720,126.2798
933,79200,114.1323
935,79680,105.9235
938,80160,99.4163
940,80640,101.9007
942,81120,141.8642
945,81600,98.385
948,82080,78.1853
950,82560,127.8546
952,83040,147.3243
955,83520,65.8184
957,84000,127.3272
960,84480,97.3505
962,84960,137.7698
964,85440,143.2233
966,85920,145.9676
968,86400,142.7775
970,86880,127.7024
973,87360,93.709
975,87840,114.5736
977,88320,134.7838
979,88800,133.1569
981,89280,117.5479
983,89760,133.6884
985,90240,125.35
987,90720,125.881
990,91200,99.0922
992,91680,150.8777
994,92160,151.4762
996,92640,144.0247
998,93120,138.1428
1000,93600,124.7297
1002,94080,135.6572
1004,94560,128.243
1006,95040,135.0526
1008,95520,140.4806
1010,96000,145.6583
1012,96480,124.4753
1014,96960,138.8234
1016,97440,143.3059
1018,97920,120.6657
1020,98400,130.9868
1022,98880,140.1245
1024,99360,134.787
1026,99840,146.7966
1028,100320,148.4338
1030,100800,132.7683
1032,101280,125.599
1034,101760,141.4617
1037,102240,89.2511
1039,102720,149.7259
1041,103200,114.8688
1043,103680,125.4093
1045,104160,137.6201
1047,104640,138.8277
1049,105120,108.3675
1051,105600,105.0665
1053,106080,125.285
1055,106560,128.1633
1057,107040,108.7969
1059,107520,107.2172
1061,108000,125.9395
1063,108480,83.0958
1065,108960,121.5729
1067,109440,103.6675
1069,109920,103.9736
1071,110400,127.6005
1073,110880,114.0159
1075,111360,126.453
1077,111840,130.2389
1079,112320,110.8966
1081,112800,130.1357
1083,113280,137.0281
1085,113760,124.1365
1087,114240,126.8766
1090,114720,86.394
1093,115200,67.1602
1095,115680,128.7314
1097,116160,130.3313
1099,116640,139.0196
1101,117120,147.0081
1103,117600,117.9146
1105,118080,130.0838
1107,118560,127.1577
1110,119040,117.5611
1112,119520,109.5906
1114,120000,143.5954
1116,120480,124.6675
1118,120960,114.8636
1120,121440,121.6595
1122,121920,105.7296
1125,122400,117.3271
1127,122880,131.6745
1129,123360,110.794
1131,123840,144.4741
1133,124320,131.803
1136,124800,98.0247
1138,125280,112.2924
1141,125760,124.5514
1143,126240,109.4192
1145,126720,149.134
1147,127200,122.4508
1150,127680,84.9848
1152,128160,83.1869
1154,128640,133.6657
1157,129120,89.2594
1159,129600,107.3833
1161,130080,104.8119
1163,130560,132.7652
1166,131040,88.8666
1168,131520,119.3156
1170,132000,121.8121
1173,132480,107.559
1175,132960,115.9036
1177,133440,112.2786
1179,133920,74.3508
1181,134400,112.2878
1184,134880,101.6876
1187,135360,101.2848
1189,135840,58.1445
1191,136320,130.626
1193,136800,138.3167
1195,137280,115.4618
1197,137760,151.7623
1200,138240,124.2808
1202,138720,148.5521
1204,139200,95.3393
1206,139680,132.4115
1208,140160,142.9308
1210,140640,98.4273
1212,141120,142.0607
1215,141600,90.9506
1217,142080,130.1132
1219,142560,134.6811
1221,143040,143.5744
1223,143520,132.4188
1225,144000,139.7615
1227,144480,129.9038
1229,144960,133.5155
1231,145440,146.89
1233,145920,131.3003
1235,146400,151.519
1237,146880,136.1208
1240,147360,112.6786
1242,147840,94.3294
1244,148320,149.3624
1247,148800,94.8902
1249,149280,155.9328
1252,149760,115.0173
1255,150240,51.6347
1257,150720,141.5269
1259,151200,125.6929
1261,151680,146.1324
1264,152160,98.2566
1266,152640,95.9958
1268,153120,141.1761
1270,153600,135.7212
1273,154080,139.8926
1275,154560,100.2444
1277,155040,141.2486
1279,155520,148.8155
1282,156000,100.3065
1284,156480,146.6203
1286,156960,86.9145
1289,157440,96.8921
1291,157920,139.0169
1294,158400,97.988
1296,158880,114.3821
1298,159360,135.9587
1301,159840,99.9116
1303,160320,122.6694
1305,160800,151.1104
1307,161280,147.0869
1310,161760,100.0687
1312,162240,74.0256
1314,162720,148.0281
1316,163200,138.7046
1318,163680,128.5119
1320,164160,122.5078
1323,164640,118.4721
1325,165120,94.0193
1327,165600,131.3412
1329,166080,114.3712
1332,166560,108.0768
1334,167040,136.7283
1338,167520,57.5714
1341,168000,90.8594
1343,168480,107.3363
1345,168960,139.0801
1347,169440,103.0882
1349,169920,140.9572
1351,170400,145.2612
1353,170880,127.0294
1356,171360,94.0218
1358,171840,139.5285
1362,172320,93.2685
1364,172800,134.036
1366,173280,136.922
1368,173760,129.4148
1370,174240,147.7936
1372,174720,135.6783
1375,175200,88.3469
1377,175680,132.7999
1379,176160,82.2204
1381,176640,139.5647
1384,177120,93.3141
1386,177600,133.8576
1388,178080,140.8223
1391,178560,88.4999
1393,179040,116.1878
1395,179520,93.5351
1397,180000,135.2058
1399,180480,135.8023
1401,180960,144.2569
1403,181440,137.5113
1405,181920,126.1275
1407,182400,137.2099
1409,182880,151.8197
1412,183360,102.8786
1414,183840,136.9244
1416,184320,141.8978
1418,184800,143.9948
1420,185280,125.1447
1423,185760,103.1984
1425,186240,102.5929
1427,186720,145.032
1429,187200,120.4192
1431,187680,130.8293
1433,188160,106.7134
1435,188640,135.9465
1438,189120,118.149
1440,189600,157.0797
1442,190080,145.2442
1444,190560,154.2994
1446,191040,146.8919
1448,191520,143.0377
1450,192000,145.727
1452,192480,145.1103
1455,192960,112.506
1458,193440,77.4683
1460,193920,143.4243
1462,194400,151.0648
1464,194880,106.3992
1466,195360,139.8935
1468,195840,147.4345
1470,196320,133.3759
1472,196800,142.981
1474,197280,141.3346
1476,197760,145.104
1478,198240,129.3077
1480,198720,146.1496
1482,199200,143.9607
1484,199680,135.0261
1486,200160,137.3666
1488,200640,141.7248
1491,201120,122.4035
1493,201600,152.7692
1495,202080,123.019
1497,202560,147.9547
1499,203040,136.2406
1501,203520,158.5133
1503,204000,155.5163
1505,204480,127.4934
1507,204960,147.4596
1509,205440,143.6307
1511,205920,152.2841
1513,206400,164.0626
1515,206880,147.4525
1517,207360,140.998
1519,207840,159.4328
1521,208320,151.0664
1523,208800,135.0938
1525,209280,155.4107
1527,209760,148.4563
1529,210240,147.6113
1531,210720,146.514
1534,211200,57.4504
1537,211680,114.0282
1539,212160,79.6091
1541,212640,156.9145
1543,213120,126.1256
1545,213600,154.5513
1547,214080,153.4715
1549,214560,157.099
1551,215040,149.958
1553,215520,154.8895
1555,216000,153.2811
1558,216480,139.7893
1560,216960,162.6954
1562,217440,71.6547
1564,217920,151.3006
1567,218400,130.6047
1569,218880,118.2569
1571,219360,142.3781
1573,219840,146.9798
1575,220320,149.4288
1578,220800,110.4975
1580,221280,116.12
1582,221760,125.0607
1584,222240,81.3085
1587,222720,130.2604
1589,223200,160.9584
1591,223680,114.1736
