episode,timestep,reward
39,480,1.3794
89,960,1.1218
163,1440,0.6995
234,1920,0.74
328,2400,0.5541
439,2880,0.4688
559,3360,0.4318
679,3840,0.4317
794,4320,0.4494
908,4800,0.4558
1025,5280,0.4437
1139,5760,0.4541
1259,6240,0.4335
1379,6720,0.435
1499,7200,0.4347
1619,7680,0.4341
1739,8160,0.432
1859,8640,0.4323
1966,9120,0.4766
2054,9600,0.5862
2138,10080,0.6293
2223,10560,0.6194
2311,11040,0.5989
2403,11520,0.5804
2498,12000,0.5628
2593,12480,0.5585
2688,12960,0.5579
2784,13440,0.5542
2880,13920,0.5542
2976,14400,0.5565
3071,14880,0.5571
3161,15360,0.5895
3257,15840,0.5529
3353,16320,0.5518
3449,16800,0.5528
3524,17280,0.5751
3583,17760,1.0265
3651,18240,0.793
3699,18720,1.234
3751,19200,1.0647
3804,19680,1.0584
3845,20160,1.3285
3876,20640,1.8318
3915,21120,1.4817
3965,21600,1.1124
4013,22080,1.1602
4060,22560,1.2436
4109,23040,1.1868
4155,23520,1.3254
4202,24000,1.3
4252,24480,1.232
4304,24960,1.1364
4356,25440,1.1278
4407,25920,1.1943
4458,26400,1.1798
4509,26880,1.1641
4553,27360,1.4434
4580,27840,3.5077
4594,28320,8.8995
4605,28800,15.6738
4618,29280,8.8872
4628,29760,16.9589
4641,30240,10.9732
4654,30720,10.7484
4666,31200,13.0393
4678,31680,13.6529
4692,32160,10.664
4709,32640,6.7227
4724,33120,8.665
4735,33600,14.9751
4746,34080,11.1129
4759,34560,14.7147
4770,35040,14.5888
4784,35520,10.2839
4797,36000,12.2541
4808,36480,14.7095
4819,36960,15.8364
4831,37440,14.1771
4847,37920,7.9426
4860,38400,11.3925
4872,38880,13.098
4883,39360,16.2063
4898,39840,8.3467
4913,40320,7.4093
4928,40800,9.7754
4946,41280,6.2999
4961,41760,7.6915
4973,42240,11.4682
4984,42720,14.2469
4997,43200,11.7521
5008,43680,11.6926
5020,44160,13.4738
5034,44640,10.5347
5056,45120,4.1673
5072,45600,7.2858
5086,46080,9.6923
5104,46560,6.0211
5124,47040,5.3068
5140,47520,7.8156
5160,48000,5.4552
5172,48480,9.9497
5185,48960,11.4089
5198,49440,9.7742
5211,49920,12.7997
5224,50400,10.2604
5235,50880,12.5691
5248,51360,12.4942
5259,51840,15.7447
5273,52320,10.3646
5293,52800,5.5367
5311,53280,6.3717
5325,53760,10.6377
5340,54240,8.9317
5362,54720,4.5943
5374,55200,11.2924
5385,55680,16.298
5396,56160,15.2212
5408,56640,13.2203
5418,57120,16.3676
5430,57600,16.4536
5441,58080,14.299
5452,58560,15.2613
5462,59040,15.467
5472,59520,17.8344
5482,60000,18.6152
5493,60480,16.8066
5504,60960,13.6665
5515,61440,17.5271
5524,61920,17.2253
5536,62400,13.5959
5546,62880,18.2688
5557,63360,16.6025
5570,63840,10.5613
5584,64320,7.6297
5595,64800,14.8059
5608,65280,12.4265
5618,65760,15.206
5628,66240,15.9462
5639,66720,15.4737
5655,67200,7.9081
5670,67680,8.8688
5687,68160,7.1908
5701,68640,8.728
5716,69120,9.2789
5730,69600,9.084
