episode,timestep,reward
1,50,-8.491732
1,55,-10.141599
2,60,-11.015718
2,85,-14.145499
3,90,-7.079934
3,105,-19.432765
4,120,-11.732992
4,120,-11.361984
4,135,-5.499267
5,150,-5.191325
5,160,-7.172424
5,165,-12.836921
5,175,-18.701344
6,185,-6.291558
6,190,-9.373443
7,235,-9.033508
7,235,-10.45419
8,240,-12.736706
8,240,-13.183484
8,255,-11.925941
9,275,-6.35912
10,310,-13.144032
10,310,-9.559545
11,330,-14.579209
11,355,-8.148548
12,385,-64.434486
13,395,-7.07776
13,400,-24.892871
13,400,-13.283002
13,410,-17.80215
14,425,-7.206174
14,430,-5.248423
14,435,-7.071444
14,440,-7.414537
15,465,-7.303604
15,470,-7.045344
15,475,-7.103692
16,480,-7.286895
17,515,-8.74064
17,520,-9.319009
18,550,-30.433327
18,555,-6.318597
18,555,-12.527645
18,560,-15.985939
19,585,-6.081194
19,595,-7.082675
20,600,-7.192833
20,610,-9.987262
21,635,-30.495572
21,645,-8.998769
22,660,-11.195733
22,660,-8.710972
23,690,-10.512965
23,705,-8.422987
23,715,-13.645775
24,745,-17.818673
25,755,-9.433041
25,765,-39.23853
25,765,-14.697803
26,780,-12.368325
26,785,-7.029172
26,795,-5.280535
27,820,-6.383931
27,820,-9.869218
27,830,-6.19302
28,840,-16.091339
28,845,-11.170954
28,860,-5.379013
29,870,-8.733723
29,880,-6.123498
29,890,-9.183203
30,910,-7.07304
30,915,-9.964047
30,915,-6.23368
30,925,-18.496478
31,955,-7.864345
32,970,-10.028365
32,970,-15.914987
32,980,-10.028883
33,1000,-15.128705
34,1020,-9.030786
34,1035,-6.220885
35,1050,-11.957067
35,1065,-5.333401
35,1075,-9.861575
36,1080,-5.388293
36,1105,-26.733219
37,1110,-7.995796
37,1120,-33.415803
37,1135,-10.651914
38,1160,-8.702113
38,1165,-10.933306
39,1170,-6.181317
39,1175,-10.109636
39,1195,-18.117656
40,1220,-11.093353
41,1230,-10.402411
41,1235,-10.93734
41,1240,-14.31323
41,1240,-7.890338
42,1260,-7.130744
42,1280,-8.102531
42,1285,-9.892914
42,1285,-7.822472
43,1290,-8.874727
43,1305,-8.198036
44,1320,-6.21586
44,1330,-7.355187
44,1345,-7.261918
45,1365,-13.728477
45,1370,-8.723509
46,1385,-9.533069
46,1385,-26.922085
46,1405,-6.812155
47,1425,-10.379611
48,1445,-10.923518
48,1450,-11.9637
48,1460,-6.30729
48,1460,-9.394232
50,1515,-12.059266
51,1530,-11.781956
51,1545,-17.025652
51,1550,-14.616553
52,1570,-10.413083
52,1585,-6.777799
53,1590,-6.85598
53,1590,-11.118623
53,1615,-8.066471
54,1620,-6.304527
54,1630,-6.99689
54,1645,-9.735771
54,1645,-151.898647
55,1660,-8.02436
55,1665,-8.644822
55,1665,-6.287207
56,1695,-5.286214
57,1725,-10.562839
58,1740,-13.749131
58,1745,-21.868619
59,1770,-26.599045
59,1780,-15.723011
59,1785,-8.282811
59,1785,-10.609358
59,1795,-8.80966
61,1850,-10.07829
61,1850,-11.283445
61,1855,-12.064743
62,1880,-17.940549
63,1900,-8.854959
63,1905,-9.439229
64,1935,-14.404421
64,1945,-11.855812
65,1950,-8.85184
65,1970,-11.070438
65,1975,-7.256258
66,1980,-6.001474
66,1980,-5.337548
67,2010,-6.050106
67,2035,-9.97504
68,2060,-8.669541
69,2075,-181.924668
69,2085,-8.885173
70,2125,-25.11117
70,2125,-7.194136
71,2130,-12.99035
71,2150,-68.61778
72,2170,-8.135003
72,2170,-17.785053
72,2175,-8.460675
73,2195,-13.123929
73,2195,-8.254168
73,2215,-7.786499
74,2230,-6.353386
75,2250,-15.442018
75,2255,-14.134542
76,2290,-7.318753
76,2300,-8.353049
76,2305,-13.830444
77,2310,-23.190182
78,2340,-9.222207
78,2345,-7.730601
78,2345,-6.42739
78,2345,-7.09875
79,2385,-7.621366
79,2390,-7.921519
80,2400,-10.041514
80,2405,-11.354024
80,2425,-81.111525
81,2430,-4.352774
81,2435,-8.029696
81,2435,-6.361041
82,2470,-16.32479
82,2480,-8.107813
82,2480,-8.711505
82,2485,-11.580761
83,2490,-9.654334
84,2530,-9.08367
84,2530,-9.09646
84,2540,-8.625331
84,2545,-13.049376
85,2570,-7.000358
85,2575,-6.193793
86,2585,-10.102711
86,2590,-7.78872
87,2620,-8.172047
87,2620,-6.219524
87,2630,-10.456077
87,2635,-59.377333
88,2655,-13.151484
89,2670,-6.209903
90,2705,-16.893834
90,2710,-7.512278
90,2720,-17.393484
91,2730,-14.94329
91,2750,-8.142096
92,2775,-10.248794
92,2775,-11.483916
92,2780,-8.551053
93,2800,-9.393304
94,2820,-7.887322
94,2845,-8.376099
95,2850,-12.18839
95,2875,-9.712927
96,2890,-19.714146
96,2905,-175.566957
97,2910,-12.074003
97,2915,-12.175044
98,2940,-8.678457
98,2965,-9.061447
99,2980,-14.100716
100,3005,-16.282781
100,3005,-11.547999
100,3005,-7.224772
101,3030,-8.761093
101,3045,-7.07968
101,3045,-7.095195
102,3070,-12.512126
102,3075,-82.01952
102,3075,-7.792324
104,3120,-8.283436
104,3120,-8.791109
104,3125,-14.24609
105,3160,-6.153909
106,3185,-25.194225
106,3190,-13.248557
107,3215,-9.324945
