episode,timestep,reward
30,480,-11.935
47,960,-13.5258
66,1440,-11.9948
87,1920,-12.3207
102,2400,-14.0477
122,2880,-12.5914
143,3360,-12.6049
167,3840,-12.0443
188,4320,-12.3771
207,4800,-12.8686
226,5280,-12.9794
244,5760,-12.5391
259,6240,-14.2907
275,6720,-13.6358
289,7200,-14.0428
303,7680,-14.3763
318,8160,-14.2466
334,8640,-13.8335
352,9120,-13.2857
368,9600,-13.5815
383,10080,-14.2738
402,10560,-13.171
415,11040,-14.1919
429,11520,-14.5228
443,12000,-14.2884
459,12480,-13.8278
473,12960,-13.9055
488,13440,-13.8906
531,13920,-7.2044
553,14400,-11.9283
576,14880,-11.8251
600,15360,-11.7971
624,15840,-11.6779
642,16320,-12.9528
656,16800,-14.3334
672,17280,-13.9684
685,17760,-14.4512
704,18240,-13.0376
717,18720,-14.7418
731,19200,-14.3327
748,19680,-13.6939
761,20160,-14.2813
775,20640,-14.3236
790,21120,-14.3612
806,21600,-13.7001
821,22080,-13.4403
835,22560,-14.1801
851,23040,-13.8834
864,23520,-14.3705
880,24000,-13.8756
894,24480,-14.08
908,24960,-14.2381
922,25440,-14.0166
938,25920,-13.9606
954,26400,-13.716
969,26880,-13.8445
983,27360,-14.288
997,27840,-14.196
1011,28320,-13.8392
1029,28800,-13.5988
1043,29280,-13.8862
1058,29760,-14.0998
1071,30240,-14.3453
1087,30720,-13.9251
1102,31200,-14.0508
1118,31680,-13.9074
1131,32160,-14.2765
1147,32640,-13.6732
1162,33120,-14.0393
1178,33600,-13.8205
1191,34080,-14.4229
1205,34560,-14.0406
1220,35040,-14.0923
1236,35520,-13.5748
1252,36000,-13.9081
1267,36480,-13.9907
1282,36960,-13.7901
1299,37440,-13.6578
1316,37920,-13.5595
1331,38400,-13.9467
1346,38880,-13.6321
1361,39360,-14.1928
1375,39840,-13.9989
1388,40320,-14.3759
1401,40800,-14.5609
1418,41280,-13.5618
1433,41760,-14.1467
1446,42240,-14.5753
1462,42720,-13.6481
1477,43200,-14.0913
1490,43680,-14.549
1504,44160,-13.9347
1521,44640,-13.6897
1535,45120,-14.0166
1552,45600,-13.5914
1567,46080,-14.1589
1584,46560,-13.5087
1601,47040,-13.4654
1614,47520,-14.2941
1630,48000,-14.2177
1645,48480,-13.683
1660,48960,-14.3109
1675,49440,-13.8534
1689,49920,-14.321
1705,50400,-13.7848
1718,50880,-14.0956
1732,51360,-14.4453
1750,51840,-13.508
1765,52320,-13.7196
1780,52800,-14.2075
1794,53280,-14.1868
1807,53760,-14.4533
1821,54240,-14.3576
1836,54720,-14.0483
1850,55200,-14.4015
1864,55680,-14.0802
1880,56160,-13.7799
1895,56640,-13.9935
1909,57120,-14.2123
1925,57600,-13.8993
1943,58080,-13.37
1956,58560,-14.5055
1969,59040,-14.4295
1985,59520,-13.7726
2000,60000,-14.1927
2016,60480,-13.6172
2030,60960,-14.5287
2045,61440,-13.8587
2060,61920,-13.9733
2074,62400,-14.4171
2087,62880,-14.4677
2101,63360,-14.3102
2115,63840,-14.4791
2130,64320,-13.9626
2143,64800,-14.8031
2158,65280,-13.9642
2174,65760,-13.9968
2188,66240,-14.2405
2202,66720,-14.1289
2217,67200,-13.8037
2231,67680,-14.2497
2244,68160,-14.3687
2258,68640,-14.3796
2273,69120,-13.8349
2287,69600,-14.4139
2301,70080,-14.124
2316,70560,-14.1676
2328,71040,-14.6803
2340,71520,-14.6799
2356,72000,-14.0515
2371,72480,-13.8778
2386,72960,-14.0316
2400,73440,-14.0526
2414,73920,-14.347
2429,74400,-13.9611
2444,74880,-14.3147
2457,75360,-14.6327
2471,75840,-14.141
2485,76320,-14.4553
2498,76800,-14.5885
2514,77280,-13.9387
2530,77760,-13.7347
2543,78240,-14.5542
2559,78720,-13.8688
2573,79200,-14.3152
2586,79680,-14.5324
2601,80160,-14.3605
2617,80640,-13.7975
2632,81120,-14.0721
2648,81600,-13.7096
2663,82080,-14.1344
2676,82560,-14.6314
2690,83040,-14.1329
2703,83520,-14.6542
2718,84000,-14.2736
2733,84480,-14.0086
2748,84960,-13.8388
2760,85440,-15.065
2774,85920,-14.0683
2791,86400,-13.726
2806,86880,-13.9803
2820,87360,-14.4459
2834,87840,-14.2659
2847,88320,-14.7396
2861,88800,-14.4224
2875,89280,-14.3258
2888,89760,-14.665
2904,90240,-13.6828
2918,90720,-14.3958
2933,91200,-13.9521
2947,91680,-14.4947
2962,92160,-14.0741
2976,92640,-14.3329
2989,93120,-14.4632
3006,93600,-13.6201
3019,94080,-14.5391
3033,94560,-14.4719
3049,95040,-13.8799
3064,95520,-14.1358
3078,96000,-14.1072
3093,96480,-14.2626
3108,96960,-13.7375
3121,97440,-14.6138
3137,97920,-13.5906
3152,98400,-14.2578
3167,98880,-14.1525
3181,99360,-14.3025
3195,99840,-14.1201
3207,100320,-14.7714
3220,100800,-14.7509
3236,101280,-13.984
3252,101760,-13.763
3265,102240,-14.4758
3279,102720,-14.629
3294,103200,-13.8383
3308,103680,-14.2355
3322,104160,-14.3576
3336,104640,-14.2312
3350,105120,-14.6599
3363,105600,-14.6512
3376,106080,-14.5967
3388,106560,-14.6132
3405,107040,-13.6689
3417,107520,-14.7053
3430,108000,-14.6741
3444,108480,-14.0283
3458,108960,-14.2763
3472,109440,-14.5731
3483,109920,-15.058
3498,110400,-14.3416
3514,110880,-13.9035
3528,111360,-14.2575
3543,111840,-14.0715
3557,112320,-14.0657
3571,112800,-14.6434
3583,113280,-14.9865
3597,113760,-14.4835
3611,114240,-14.3855
3625,114720,-14.276
3641,115200,-13.9978
3654,115680,-14.5645
3669,116160,-13.8838
3684,116640,-14.1744
3697,117120,-14.6706
3710,117600,-14.7028
3722,118080,-14.9375
3735,118560,-14.4758
3749,119040,-14.3503
3762,119520,-14.6108
3776,120000,-14.4794
3789,120480,-14.6027
3803,120960,-14.1517
3818,121440,-14.0374
3832,121920,-14.4977
3844,122400,-14.7993
3859,122880,-14.1378
3872,123360,-14.4448
3888,123840,-13.9539
3900,124320,-15.0275
3913,124800,-14.6838
3928,125280,-14.0435
3943,125760,-14.1601
3955,126240,-15.0365
3969,126720,-14.5368
3983,127200,-14.3288
3998,127680,-14.1091
4014,128160,-13.7375
4027,128640,-14.6463
4042,129120,-14.2826
4056,129600,-14.1366
4070,130080,-13.8967
4083,130560,-14.7326
4096,131040,-14.5366
4109,131520,-14.179
4122,132000,-14.8181
4134,132480,-15.0864
4147,132960,-14.66
4159,133440,-14.7831
4171,133920,-14.9837
