episode,timestep,reward
0,28,5.269045
1,36,6.770884
1,40,7.541218
1,44,8.136328
1,56,5.288573
2,68,5.302491
2,80,6.785493
2,80,8.161641
3,112,8.316075
4,120,11.470136
4,124,8.150934
4,148,11.799098
5,160,7.536605
5,168,10.326647
5,176,9.729046
6,188,7.555895
6,200,6.058355
6,208,6.011184
6,208,9.005562
8,240,9.509625
8,252,8.269353
9,284,13.536487
9,284,14.534378
10,300,10.806667
10,300,8.834934
10,320,6.767727
11,332,6.036903
11,340,7.554755
11,352,12.371166
12,372,7.459415
12,372,9.555223
12,376,6.704972
13,392,7.55103
13,396,4.556192
13,408,6.061857
14,420,8.924986
14,436,5.301162
14,448,5.287072
15,464,11.285426
15,472,14.57721
16,496,6.083022
17,512,11.831848
17,516,8.23245
18,540,8.218474
18,568,10.189107
19,576,10.628504
19,592,9.597534
21,648,12.737033
21,652,11.119758
21,652,13.88479
22,684,6.070775
22,688,6.803978
23,696,9.056342
23,696,20.54873
23,712,5.295522
24,720,6.044995
24,736,4.541244
24,740,3.795919
24,744,9.051226
25,776,7.531266
26,788,15.709064
26,800,11.013229
27,812,11.70003
27,824,4.536015
27,824,8.976507
27,824,6.754292
28,844,6.043568
28,860,6.749563
29,872,5.314833
29,892,6.029097
30,900,14.094452
30,928,5.279908
31,952,11.075252
32,984,10.198372
33,1016,17.230886
34,1020,6.791633
34,1028,13.556186
35,1056,7.478268
35,1068,8.851264
36,1084,10.193357
37,1116,10.985841
37,1124,10.422982
37,1124,7.53261
38,1140,4.537446
38,1168,8.300015
38,1168,8.153601
39,1180,7.533547
40,1200,6.036953
40,1224,10.487239
41,1248,28.128507
41,1252,5.290102
42,1288,15.720917
42,1288,6.793824
43,1296,9.018137
43,1300,14.762803
44,1328,7.491226
44,1344,9.124934
45,1352,11.791735
46,1380,14.185903
46,1400,8.900668
46,1404,13.54368
47,1428,8.962559
48,1448,8.367516
48,1460,6.048351
48,1468,12.764256
49,1488,5.271861
49,1488,7.509251
50,1504,24.223949
50,1508,7.497933
50,1524,6.767133
51,1532,8.09076
51,1532,5.286417
51,1552,8.197597
52,1572,7.556489
52,1580,10.232425
53,1604,13.182717
53,1604,9.504195
53,1616,8.157922
54,1620,7.485901
54,1636,6.00776
54,1648,5.322723
55,1660,8.223323
55,1668,11.566695
56,1688,9.613026
56,1700,7.449785
57,1716,12.433723
57,1716,5.292303
57,1720,9.580237
57,1728,5.30307
58,1752,6.042472
58,1756,7.480748
59,1772,10.004115
59,1772,8.112359
60,1800,8.176713
60,1808,10.502855
61,1840,12.177654
61,1840,12.635928
62,1860,10.773688
62,1880,7.46556
62,1884,4.557612
63,1896,10.340377
63,1904,15.286614
64,1920,4.557645
64,1924,7.570954
64,1932,5.289475
64,1932,9.7075
65,1952,6.008941
65,1960,6.811832
65,1964,6.025012
65,1968,6.793772
66,1980,5.294999
66,1988,5.295351
66,2008,5.277824
67,2012,8.892683
67,2020,9.584481
68,2044,10.53493
68,2068,11.050768
68,2068,8.893091
69,2080,12.151386
69,2088,8.226114
70,2108,5.283549
70,2108,7.44438
70,2128,11.316829
71,2136,5.283847
71,2144,6.818249
72,2160,6.055553
72,2168,14.032151
72,2176,7.483843
72,2188,8.223887
73,2196,5.291908
73,2196,6.809092
74,2224,8.870124
74,2228,6.05415
74,2240,9.824315
75,2264,11.884793
75,2272,8.821068
75,2276,9.055961
76,2288,8.965426
76,2304,7.535514
77,2312,7.414618
77,2324,6.778368
78,2352,7.58586
78,2368,11.973529
79,2388,6.792273
79,2388,11.799601
80,2412,8.196544
81,2440,9.655905
82,2464,14.389407
82,2476,6.743787
83,2492,12.864554
83,2504,7.483202
84,2520,5.279363
84,2532,10.410967
84,2540,13.491062
85,2552,8.980304
85,2564,6.065483
86,2580,10.973973
86,2588,9.082538
86,2608,5.27259
86,2608,10.467753
87,2632,8.211593
88,2644,14.788426
88,2644,6.727594
88,2648,7.551546
89,2676,5.322792
89,2688,8.222406
89,2688,10.50113
89,2692,9.013786
90,2708,3.800796
90,2720,5.326565
90,2720,8.172113
91,2744,10.081149
91,2756,8.836225
92,2772,9.589628
92,2780,4.542634
92,2788,8.217142
93,2796,4.547296
93,2804,4.5594
93,2816,14.710313
94,2828,6.022143
94,2836,8.887609
95,2868,7.473432
95,2872,12.427357
95,2876,7.506349
96,2888,12.669592
96,2896,5.280583
